	title	sentences	label	language	index	checkSent	checkLabs
8364	Implémentation d'un langage fonctionnel orienté vers la méta programmation	Ce mémoire présente l'implémentation d'un nouveau langage de programmation nommé Typer. Typer est un langage fonctionnel orienté vers la méta programmation. Il a été conçu pour augmenter la productivité du programmeur et lui permettre d'écrire des applications plus fiables grâce à son système de types.  Pour arriver à ses fins, Typer utilise l'inférence de types et implémente un puissant système de macros.  L'inférence de types permet à l'utilisateur d'omettre certains éléments, le système de macros, quant à lui, permet de compléter le programme pendant la compilation  lorsque l'inférence n'est pas suffisante ou pour générer du code.  Typer utilise les types dépendants pour permettre à l'utilisateur  de créer des types très expressifs pouvant même être utilisés pour représenter des preuves formelles. De plus, l'expressivité des types dépendants permet au compilateur d'effectuer des vérifications plus approfondies pendant la compilation même.  Ces mécaniques permettent au code source d'être moins verbeux, plus concis et plus simple à comprendre, rendant, ainsi l'écriture de programmes  ou/et de preuves plus plaisante. Ces fonctionnalités sont implémentées dans l'étape que nous appelons l'élaboration, à l'intérieur de laquelle de nombreuses transformations du code source ont lieu. Ces transformations incluent l'élimination des aides syntaxiques, la résolution des identificateurs, l'expansion des macros, la propagation et l'inférence des types.	Assistant à la preuve , Type dépendant , dependant type	fr	19108	Y	Y , Y , Y , 
1328	Transition metal-free desulfinative cross-coupling of 2-pyridyl sulfonates with organolithium reagents : mild access to 2-substituted pyridines	Biaryl compounds containing the pyridine moiety represent a ubiquitous structure in both organic and medicinal chemistry. Therefore, finding new and reliable approaches for their synthesis is still of interest. Traditionally, azine containing biaryls are efficiently synthesized via transition-metal catalyzed cross-coupling reactions. However, due to its π-deficient nature, pyridine cannot be easily functionalized at the C-2 position to serve as nucleophile partner. For examples, in the Suzuki-Miyaura cross-coupling reaction, 2-pyridyl boronates are well known for their instability. 2-Pyridyl organometallics undergo electrophilic aromatic substitution poorly. Thus, the synthesis of 2-substituted pyridines remains a challenging task. The first part of the thesis focuses on the recent methods to address the coupling issues of 2-pyridyl nucleophiles in cross-coupling reactions. Of note, the classical methods including Suzuki-Miyaura cross-coupling reactions, C-H activation of N-activated pyridinium species, and direct coupling reaction of pyridine are presented. Alternative approaches using the pyridine moiety as an electrophilic entity in the coupling with organometallic reagents are also discussed. In the second part of the thesis, a transition metal-free desulfinative cross-coupling reaction of 2-pyridyl sulfonates with organolithium reagents is reported. A variety of 2-substituted pyridines were successfully synthesized in good yields, by treatment of neopentyl 2-pyridyl sulfonates and phenyl 2-pyridyl sulfonate with aryl, alkyl, and heteroaryl-lithium reagents at low temperature. Mechanistic studies showed that the coupling reaction with lithium reagents undergoes an SNAr pathway. However, a ligand coupling process of a σ-sulfurane intermediate may be involved in the reaction with Grignard reagents to form the biaryl.	Ester de 2-pyridine sulfonate , Lithiation , Direct arylation , 2-pyridyl sulfonate esters , Biaryl synthesis , 2-substituted pyridine , Transition metal-free reactions	en	25438	Y	Y , Y , Y , Y , Y , PP , Y , 
20106	Le roman sentimental antillais : appropriation du canon et didactisme	Le roman sentimental est un des genres les plus lus, les plus traduits et les plus diffusés. Malgré sa mauvaise réputation, il est étonnant de constater le nombre de ces romans vendus, tous pays confondus. Dans les Antilles, ce phénomène est particulièrement palpable : la présence, et la réception de ces œuvres témoignent de l’engouement pour le genre. Notre étude a pour objectif de dégager d’un corpus sentimental antillais les aspects les plus significatifs. Nous analyserons, d’une part, le schéma narratif élaboré en marge de celui proposé par le roman sentimental classique et, d’autre part, l’esthétique du quotidien mise en place pour créer un sentiment d’appartenance chez le lectorat. Il nous sera ainsi possible de mettre en évidence le discours socioculturel propre à ce genre et plus spécifiquement aux femmes antillaises. Par ailleurs, cette recherche postule que l'appropriation des invariants romanesques et l'élaboration d'une visée didactique participent à l'intégration du roman sentimental antillais dans la sphère des littératures « sérieuses ». Enfin, ce mémoire défend l’idée selon laquelle l’écriture romanesque des auteures étudiées contribue au projet littéraire antillais de réappropriation identitaire.	Littérature antillaise , Roman sentimental , Écriture des femmes , Didactisme , Poétique des genres	fr	3805	Y	Y , PP , Y , Y , Y , 
7708	Relations entre la compétence émotionnelle et le flow chez des enseignants du collégial	L’enseignement est une profession où la dimension affective occupe une place essentielle dans les interventions pédagogiques. Ainsi, la compétence émotionnelle dans la profession enseignante devient un atout dans la construction des compétences professionnelles. Aussi, beaucoup d’enseignantes et d’enseignants parlent de leur passion d’enseigner.  C’est par le concept du flow, qui est un état de plaisir et d’engagement total dans une activité, que cette passion d’enseigner sera abordée.  Deux objectifs de recherche sont proposés : le premier est d’explorer dans une perspective globale la manifestation du flow et de la compétence émotionnelle et le deuxième est d’explorer de possibles relations entre les dimensions du flow et les composantes de la compétence émotionnelle chez les enseignantes et les enseignants au collégial. Une analyse descriptive corrélationnelle sera utilisée. 103 enseignantes et enseignants du collégial de la grande région de Montréal ont répondu aux questionnaires du flow et de la compétence émotionnelle dans le cadre de notre étude.  Concernant le premier objectif de recherche, les résultats montrent que les enseignantes et les enseignants du collégial vivent du flow dans le cadre de leur activité d’enseignement et possèdent un profil de compétence émotionnelle élevé. Les résultats du deuxième objectif de recherche indiquent que toutes les dimensions du flow analysées possèdent au moins un lien de dépendance positif avec une ou plusieurs composantes de la compétence émotionnelle. Les dimensions du flow qui disposent d’un plus grand nombre de corrélations positives avec la compétence émotionnelle, dont l’intensité varie de faible à moyenne, sont l’absorption cognitive et l’expérience autotélique.	Compétence émotionnelle , Flow , Enseignantes et enseignants au collégial , Analyse descriptive corrélationnelle	fr	19855	Y	PP , PP , Y , PP , 
11724	The Nursing Intensity Critical Care Questionnaire (NICCQ) : Validation Study in Cardiac Surgery Patients	Nurse Managers need today more than ever instruments that can be used to justify the billions of dollars that are invested in the healthcare sector annually. The objective of the study was to establish the validity and reliability of the Nursing Intensity Critical Care Questionnaire (NICCQ) in a cardiac surgery intensive care unit (CSICU) of a tertiary hospital. An expert panel evaluated the questionnaire’s content validity while generalizability theory was used to estimate the G and D coefficients. Decision studies enabled the investigators to determine if the current ward functioning of having one nurse rate one patient is adequate. Also, exploratory factorial analyses (EFA) preceded by principal component analyses (PCA) looked at establishing the factorial structure for the NICCQ. Finally, the NICCQ was correlated with a severity of illness score known as the Acute Physiology And Chronic Health Evaluation II (APACHE II) to estimate the correlation between patient illness and nursing intensity of care. The NICCQ was used by nurses using a sample of patients who had undergone cardiac surgery and were hospitalized on a CSICU of a tertiary teaching hospital. A convenience sample of nurses and patients on the CSICU was used to reflect the procedures and usual functioning of the unit. Each item on the questionnaire measured nursing intensity of care using a three point ordinal scale (Light, Moderate, and Severe) for the first 11 items, and a five point ordinal scale for the global assessment item (including the intermediate categories light/moderate and moderate/severe). The questionnaire proved to be both valid and able to be generalized to all nurses working in the CSICU. Overall results showed that 94.4% of the item generalizability coefficients indicated acceptable to excellent reliability, with most (86.1%) being larger than .90. The EFA established a simple 4 factor structure that explained little of the variance (32%). A correlation coefficient of 0.36 indicated that patient’ severity of illness is somewhat correlated with nursing intensity of care. The study showed that the NICCQ is a valid questionnaire with a generalizability coefficient that is large enough to be used by nurses’ managers for administrative purposes. Further research using larger samples would be needed to further test the factor structure of the NICCQ.	Validation , Analyse factorielle , Questionnaire , Reliability , Intensity of care , Intensive care unit , ICU , Nursing , Intensity of care , Generalizability , Factorial analysis	en	12709	Y	Y , N , PP , PP , PP , PP , PP , PP , PP , PP , Y , 
6464	Impact des biais introduits lors de différents types de mesures de pression artérielle	High blood pressure is a major cardiovascular risk factor that affects up to one fourth of the Canadian adult population. Its diagnosis, treatment and follow-up depend largely on accurate blood pressure (BP) measurements. There are different types of measurements and they are complementary in some aspects. BP assessments methods include the office manual measurement, the automated office blood pressure measurement (AOBP) and home blood pressure monitoring (HBPM). To address hypertension adequately, clinicians must have reliable tools to estimate BP. This master thesis focuses on three potential biases and tries to quantify their impact on BP measurement. The biases that are addressed are first, the difference between manual measurement and AOBP in clinical and research contexts, second, the bias existing in incomplete HBPM schedules and finally, the difference between the two most used AOBP devices in different clinical environments. The first study demonstrated that the AOBP is equivalent to manual measurement when standardized and performed by well-trained nurses, in both clinical and research contexts. The second study shows that incomplete HBPM schedules can have a significant impact on the precision and diagnostic validity of HBPM when compared to complete schedules. Our data shows that incomplete schedules composed of 21 measures give precision and diagnostic validity similar to the complete schedule. Our third study showed that the two most used AOBP devices, the Omron HEM 907 and the BpTRU BPM-100, were equivalent around diagnostic threshold. However, these two devices showed statistically and clinically significant differences when estimating low BP.	Blood pressure , Blood pressure measurement , Automated office blood pressure measurement , Home blood pressure monitoring	en	20788	Y	PP , PP , PP , PP , 
21816	Nearly Serial Sharing Methods	A group of agents participate in a cooperative enterprise producing a single good. Each participant contributes a particular type of input; output is nondecreasing in these contributions. How should it be shared? We analyze the implications of the axiom of Group Monotonicity: if a group of agents simultaneously decrease their input contributions, not all of them should receive a higher share of output. We show that in combination with other more familiar axioms, this condition pins down a very small class of methods, which we dub nearly serial.	surplus sharing , cost sharing , group monotonicity , serial method	en	529	Y	Y , Y , PP , Y , 
2480	Les facteurs influençant l’intégration socioscolaire des adolescents immigrants nouvellement arrivés à Sherbrooke du point de vue d’intervenants socioscolaires	Les adolescents immigrants récemment arrivés au Québec, bien qu’ils constituent un groupe hétérogène, vivent des changements, des pertes et des aventures liés à l’immigration. L’intégration socioscolaire des jeunes nouvellement immigrés a donc un impact dans leur processus migratoire, car ils doivent intégrer le réseau scolaire dès leur arrivée au pays tout en s’adaptant à de nouveaux référents culturels. L’école doit ainsi leur offrir une structure d’accueil pour les encourager à s’adapter aux modes de vie socioculturels québécois. Différents facteurs peuvent alors influencer positivement ou encore négativement le jeune immigrant dans son processus d’intégration.  Cette recherche qualitative vise à identifier les facteurs qui favorisent et ceux qui nuisent à l’intégration socioscolaire des adolescents immigrants nouvellement arrivés à Sherbrooke, une ville qui vit depuis quelques années des transformations sur le plan de l’immigration, en tenant compte des expériences et des constats des intervenants scolaires. Les données ont été recueillies lors d’entrevues semi-structurées réalisées auprès de sept professionnels en milieu scolaire, aux statuts différents, qui oeuvrent auprès des jeunes immigrants dans les écoles secondaires publiques. Le cadre théorique lié à la perspective écologique et utilisé en complémentarité avec l’approche structurelle a été utilisé dans l’analyse qualitative des données collectées. Les résultats de cette recherche ont permis de mettre en lumière des facteurs qui facilitent et des facteurs qui nuisent à l’intégration socioscolaire de ces adolescents immigrants. Ces facteurs d’opportunité et de risque se rattachent notamment à l’individu même, à sa famille, à ses pairs et à son établissement scolaire.	intégration socioscolaire , intégration , immigration , adolescents , école secondaire , intervenants scolaires , Sherbrooke	fr	24427	Y	PP , PP , PP , PP , Y , PP , PP , 
2762	Le modèle de la vierge consacrée au VIe siècle : l’exemple du De consolatoria castitatis laude d’Avit de Vienne	Au VIe siècle, dans le royaume des Burgondes, Avit de Vienne compose une lettre pour sa sœur, la moniale Fuscine. Cette œuvre consolatoire et élogieuse se nomme De consolatoria castitatis laude. Ce texte permet de comprendre la situation particulière dont bénéficie la virgo dans la société chrétienne tardo-antique.   Au niveau de son contenu, l’objectif de ce livre sert à montrer à la monacha que le choix virginal représente une forme d’échappatoire et de liberté. Il s’agit d’une réalité que ne connaît pas l’épouse. Les devoirs du mariage, les dangers de la maternité, les tracas du siècle, le veuvage, le deuil, tout cela est inconnu à la vierge parce qu’elle s’écarte des obligations terrestres. L’utilisation de la Bible et de plusieurs références patristiques constituent l’héritage des mentalités religieuses dont s’inspire Avit dans la construction d’un discours orienté sur la distinction socioreligieuse de la virgo.	Histoire des mentalités religieuses , Histoire des femmes , Virginité , Chasteté , Ascétisme , Monachisme féminin , Bible , Hagiographie , Idéologies patristiques , Tertullien , Ambroise de Milan , Jérôme , Avit de Vienne	fr	24231	Y	Y , Y , Y , Y , Y , Y , PP , Y , Y , Y , Y , Y , PP , 
11512	Paratexte numérique : la fin de la distinction entre réalité et fiction?	L’idée que je voudrais essayer d’explorer est la suivante : les éléments paratextuels ont une fonction de seuil entre le hors-texte et le texte; par ce biais, ils nous permettent aussi le passage entre le niveau extradiégétique et le niveau diégétique, et, finalement, dans le cas de la littérature, entre réalité et fiction. Si ce modèle est assez défini dans le cas de l’édition papier, l’espace numérique a tendance à le rendre de plus en plus flou. Dans le Web, tout est texte et/ou paratexte; le même élément textuel (une adresse URL, par exemple) peut servir pour déclarer un passage à la fiction ou pour nous faire acheter quelque chose sur un site de ventes en ligne, ou encore pour regarder la météo ou pour gérer notre compte en banque.	Paratexte , Fiction , Numérique , Web , Théorie de la littérature , Imaginaire-réel	fr	12922	Y	PP , PP , PP , PP , Y , Y , 
2898	Modulation des propriétés de surfaces par des liaisons réversibles	Les azométhines contiennent des liaisons covalentes qui peuvent se former de façon réversible entre une amine et un aldéhyde. Cette réversibilité peut être exploitée pour échanger leurs composantes constitutionnelles. Les propriétés intrinsèques des azométhines peuvent être modulées en échangeant les composantes amines ou aldéhydes. L’échange des composantes constitutionnelles est possible en solution. Toutefois, les produits échangés doivent être purifiés pour éliminer les divers réactifs et produits échangés indésirables. Il est donc avantageux de simplifier l’étape de purification pour isoler le produit échangé désiré. Un moyen possible pour atteindre cet objectif est d’immobiliser l’amine ou l’aldéhyde sur une surface. Dans ce cas, les produits échangés souhaités peuvent être facilement isolés en rinçant la surface à la suite de cet échange. À cette fin, un monomère d’aldéhyde électroactif dérivé de la triphénylamine a été préparé. Il a été polymérisé thermiquement sur une électrode transparente. La polymérisation a été confirmée par les spectroscopies FT-IR ATR et Raman. Une série d’amines (aminocoumarines et diaminobenzothiadiazole) présentant chacune une couleur unique, une longueur d’émission et un potentiel d’oxydation électrochimique ont été choisis. Leur formation en azométhine et leur échange dynamique sur film mince d’aldéhyde électroactif ont donc pu être suivis électrochimiquement, par des spectroscopies UV-visibles et Raman, et par la fluorescence. Des composés modèles de ces fluorophores azométhines ont également été préparés pour l’analyse comparative de leurs propriétés électrochimiques et spectroscopiques, ainsi que pour la confirmation de l’échange des composantes. Il a été montré que les propriétés multiples (potentiel redox, couleur, longueur d’onde et rendement d’émission) du film électroactif pouvaient être simultanément modulées par la formation réversible d’azométhine. En immobilisant les azométhines sur une surface, leurs propriétés pourraient être modifiées de façon réversible par échange des composantes, soit en immergeant le substrat dans une solution d’amine, soit en enduisant la surface d’un jet d’amine suivi d’un rinçage. Ce processus direct permet de développer des surfaces dont les propriétés peuvent être constamment modifiées, tout en ouvrant la possibilité de réparer la surface et de restaurer les propriétés souhaitées par un échange dynamique de composantes.	Immobilisation , Triphénylamine , Reversibilité , Azométhine , Échange dynamique	fr	24149	Y	Y , PP , Y , PP , PP , 
21190	Mesure clinique des conduites addictives	Aims: To conduct a systematic review of instruments for the clinical measurement of established and emerging addictions; and to determine whether these addictive behaviours are similarly conceptualised in clinical research. Methods: The analytic strategy employed comprised three steps: 1) major search engines were used to do an inventory of available psychometrically validated clinical instruments for assessing addictions; 2) an analytical grid was developed and validated, covering 21-parameters related to four conceptual categories: dependence (DSM-IV-TR), temperament (Cloninger and Zuckerman), social handicap (Fougeyrollas), and cognitive behaviour analysis (Beck); 3) all instruments were analysed and compared through the grid. Results: The method yielded 191 questionnaires covering 21 addictive behaviours. The most prevalent behaviours were those best represented in terms of number of questionnaires. The criteria categories most evaluated by the questionnaires were dependence and cognitive behaviour; temperament and social handicap were much less often considered. Patterns were generally similar in terms of parameters, whether questionnaires concerned substance or non-substance addictions. Conclusions: The measurement of addictions appears clinically cohesive, as determined by a validated analysis grid applied to an exhaustive set of questionnaires identified via a systematic literature review.	Questionnaire , Addictive behaviour , Toxicomania , Measurement , Questionnaire , Psychometrics , Alcohol abuse/dependence , Substance abuse/dependence , Pathological gambling	en	2688	Y	PP , PP , Y , PP , PP , Y , Y , Y , Y , 
2169	Programmation stochastique à deux étapes pour l’ordonnancement des arrivées d’avions sous incertitude	Airport operations are well known to be a bottleneck in the air traffic system, which puts more and more pressure on the world busiest airports to optimally schedule landings, in particular, and also – but to a smaller extent – departures. The Aircraft Landing Problem (ALP) has arisen from this operational need. ALP consists in finding for aircraft heading to a given airport a landing sequence and landing times so as to optimize some given criteria (optimizing runway utilization, minimizing delays, etc) while satisfying operational constraints (safety constraints mainly). As a reply to this operational need, decision support tools have been designed and put on service for air traffic controllers since the early nineties in the US as well as in Europe.  A considerable number of publications dealing with ALP focus on the deterministic and static case. However, the aircraft landing problem arising in practice has a dynamic nature riddled with uncertainties. In addition, operational horizon of  current decision support tools are to be extended so that aircraft are captured at larger distances from the airport to hopefully start the scheduling process earlier. Such a horizon extension affects the quality of input data which enlarges the uncertainty effect.  In this thesis, we aim at scheduling aircraft arrivals under uncertainty. For that purpose, we propose an approach based on two-stage stochastic programming. In the first stage, aircraft are captured at a large distance from the destination airport. They are to be scheduled on the same initial approach fix (IAF), a reference point in the near-to-airport area where aircraft start their approach phase preparing for landing. Actual IAF arrival times are assumed to be random variables with known probability distributions.   In practice, such an uncertainty may cause loss of safety separations between aircraft.  In such situations, air traffic controllers are expected to intervene to ensure air traffic safety. In order to alleviate the consequent air traffic control workload, chance constraints are introduced so that the safety risks around the IAF are limited to an acceptable level once the uncertainty is revealed. The second stage corresponds to the situation where aircraft are actually close to the IAF. In this stage, the uncertainty is revealed and a recourse decision is made in order to schedule aircraft on the runway threshold so that a second-stage cost function is minimized (e.g., air traffic control workload, delay cost, etc).  Our first contribution is a proof of concept of the extended aircraft arrival management under uncertainty and a computational study on optimization parameters and problem characteristics. Modeling this problem as a two-stage stochastic programming model and solving it by a Benders decomposition is our second contribution. Finally, our third contribution focuses on extending our model to the more realistic case, where aircraft in the first stage are scheduled on several IAFs.	Two-stage stochastic programming , Benders decomposition , Aircraft arrival scheduling	en	24638	Y	PP , PP , Y , 
20961	A randomized follow-up study of the general health and quality of life of an elderly edentulous population wearing either mandibular two-implant overdentures or conventional dentures	The global greying of society indicates that health care systems face new challenges.  High levels of disability can be reduced through new technologies, health promotion and preventive strategies.  Recent literature has underlined the superiority of mandibular implant overdentures over conventional dentures for patient satisfaction and quality of life. However, it is still not clear whether this benefit has any long-term positive effects on oral and general health, as well as on the quality of life of elderly populations.  Objectives, Hypotheses: We aimed to measure the impact of mandibular two-implant overdentures on the general and oral health quality of life, as well as on oral health and sleep quality of edentulous elders. We tested the null hypothesis that there is no difference in the general and oral health quality of life, as well as, on oral health and sleep quality of those wearing mandibular two-implant overdentures (IODs) and those who wear conventional dentures (CDs), one year following prosthesis delivery.  Methods: In this randomized controlled trial, 255 elders randomly received IODs or CDs, both opposed by conventional maxillary dentures. OHRQoL and perceived general health were measured with the Oral Health Impact Profile (OHIP-20) and the Short Form-36 (SF-36) at baseline and after one year.  Sleep quality and daytime sleepiness were measured with the Pittsburg Sleep Quality global score and the Epworth Sleepiness Scale.  Clinical exams were conducted to evaluate oral health.  Independent variables included sense of coherence and prosthesis type, as well as socio-demographic variables.  Between and within group comparisons were performed using bivariate and multivariate statistical tests. Results: Pre/post treatment differences in OHIP scores were significantly greater for the IOD than the CD group (p<0.05).  Type of treatment and pre-treatment scores were significant contributors to OHRQoL (p<0.0001).  In the CD group, there was a statistically significant decrease in physical component scores (PCS), physical functioning, role physical and bodily pain from baseline to one year follow up, indicating decreased perceived general health. In the IOD group, no statistically significant decrease was seen in SF-36 subscale scores from baseline to one year, except for bodily pain.  The final regression model demonstrated that, after controlling for age, sex, marital status and type of treatment, the OHIP total final and the PCS baseline scores predict PCS final scores (p<0.0001).  No significant correlation between sense of coherence and OHRQoL was detected (r= -0.1; p> 0.05). Elders wearing conventional dentures were almost 5 times more likely to have denture stomatitis than those wearing mandibular two-implant retained overdentures (p < 0.0001).  Elders with low perceived general health had poorer sleep than those with high perceived general health (p<0.05).  Those with low oral health related quality of life were almost 4 times sleepier during the day than those with high OHRQoL (p=0.003, χ2; OR =3.8 CI 1.5 to 9.8).  Regression analysis showed that perceived general health and OHRQoL predict sleep quality (p=0.022 and p=0.001, respectively) and daytime sleepiness (p=0.017 and p=0.005, respectively).  Conclusions:  The results of this study suggest that, in edentulous elders, mandibular two-implant overdentures provide significant improvement in oral health related quality of life and maintain perceived physical health. Implant overdentures may contribute to oral health by reducing oral mucosa trauma and control denture stomatitis. Edentulous elders whose oral health related quality of life is low may also have poor sleep quality.	Randomized clinical trial , Implant overdenture , General health , Qulity of life , Denture stomatitis , Sleep , Sense of coherence	en	3015	Y	Y , PP , PP , Y , PP , PP , PP , 
6377	Pour une définition de l’éditorialisation	"""Cet article présente les résultats de huit ans de travail sur le concept d’éditorialisation, réalisés dans le cadre du séminaire international « Écritures numériques et éditorialisation » que j’ai coorganisé avec Nicolas Sauret depuis 2008. Je propose de définir l’éditorialisation comme l’ensemble des dynamiques qui produisent l’espace numérique. Ces dynamiques peuvent être comprises comme les interactions d’actions individuelles et collectives avec un environnement numérique.""--Résumé de l'éditeur"	Éditorialisation , Espace numérique , Éditions , Performativité , Production des contenus	fr	20867	Y	PP , PP , Y , Y , Y , 
21007	Mutagénèse semi-aléatoire au site actif de la DHFR humaine : création et caractérisation de variantes hautement résistantes au MTX	Human dihydrofolate reductase (hDHFR) is an enzyme that is essential to cell proliferation. It reduces dihydrofolate to tetrahydrofolate, an important cofactor involved in purine and thymidylate biosynthesis. hDHFR is a choice target for chemotherapeutic drugs like methotrexate (MTX), which specifically inhibits the enzyme, stopping cell proliferation and leading to cellular death. MTX is used for the treatment of many proliferative diseases, including cancers. Widespread use of MTX has lead to the development of resistance mechanisms appear which impair treatment efficiency. The present work focuses on a mechanism of resistance, namely mutations in hDHFR that reduce its affinity for MTX, to better understand the underlying mechanisms of inhibitor recognition at the active site of the enzyme. In parallel, we aim at identifying the most MTX-resistant variants to offer novel selectable markers for particular cell culture systems, such as hematopoietic cell culture, which offer important perspectives for cellular therapy. To study the role of different regions of the hDHFR active site, and to verify if a correlation exists between mutations in these regions and increased resistance to MTX, a combinatorial strategy was developed enabling the creation of several hDHFR variant libraries at active site residues located in proximity to bound MTX. The libraries were selected in vivo in a  bacterial system using culture media containing high concentration of the inhibitor. One library in particular, hDHFR 31/34/35, yielded a considerable number of highly MTX-resistant combinatorial hDHFR variants. The most interesting candidates were tested for their potential as selectable markers in various cell lines, including transduced hematopoietic cells. Complete protection from MTX-cytotoxicity was obtained for these cells following infection with the combinatorial variants. To better understand the molecular causes of MTX resistance, resolution of the crystal structures of variant proteins in presence of MTX was attempted. Resolution of the F31R/Q35E double variant revealed that the resistance phenotype was related to important differences in the active site relative to WT, possibly attributable to a dynamic motion effect. A more general comprehension of antifolate recognition and resistance was achieved by sequence and structural comparison of antifolate-resistant DHFR variants from different species.  Overall, our work contributes to the better understanding of enzyme-inhibitor interactions, which could provide new insights into the development of more efficient clinical therapies. In addition, this work has yielded novel drug-resistance genes useful as selectable markers for cellular biology.	Human dihydrofolate reductase , Enzyme catalysis , Inhibition , Inhibition , Folate metabolism , Combinatorial mutagenesis , Antifolate resistance , Methotrexate , Selectable markers , Hematopoietic cells , X-ray crystallography	en	2895	Y	PP , Y , Y , Y , Y , Y , Y , PP , PP , PP , Y , 
797	Les représentations de la controverse Roman Polanski dans la presse française (2002-2020)	Roman Polanski est un cinéaste franco-polonais considéré comme fugitif par Interpol depuis 1978. En 1977, lors d’un procès pour viol, le réalisateur de 44 ans plaide coupable pour relations sexuelles illégales avec une fille de 13 ans. À sa sortie de prison, par crainte que le juge ne revienne sur sa décision de remise en liberté, Roman Polanski fuit les États-Unis pour se réfugier en France. Le réalisateur poursuivra une carrière à succès dans l’univers du septième art. À ce jour, douze femmes l’accusent de violences à caractère sexuel. Ce mémoire de maîtrise est une analyse qualitative réalisée à partir de la méthode de cadrage sur le déploiement des discours de la controverse associée à Roman Polanski dans la presse française. Les cadres relevés sont les suivants : la culture du viol (1), l’artiste et son œuvre (2), la Justice (3) et la complaisance (4). Nous avons rassemblé un échantillon de 100 articles de presse publiés entre 2002 et 2020 dans trois quotidiens: Libération, Le Monde et Le Figaro. L’analyse est réalisée à partir d’un cadre théorique issu des études féministes, plus particulièrement selon les perspectives du féminisme radical et matérialiste. L’objectif de la recherche est d’illustrer et de comprendre comment s’articulent les discours associés à la controverse Roman Polanski dans la presse en France, et à plus grande échelle dans la société française.	Roman Polanski , culture du viol , féminisme , médias , France , discours , pouvoir , violences femmes , controverse	fr	25903	Y	PP , PP , Y , Y , PP , PP , Y , Y , PP , 
4889	Donald Trump et l’Agneau de Scythie	In the first volume of the Encyclopédie (1751), Diderot published an article titled « Agnus Scythicus ». Not only does he show that this plant is a myth, but he offers a lesson in historical and scientific method. Imagine if Donald Trump were to read Diderot’s article.	Encyclopédie , Diderot (Denis) , Fake news , Infox , Science , XVIIIe siècle , Encyclopedia , Botanic , XVIIIth century , Age of Enlightenment	en	22195	Y	PP , Y , Y , Y , Y , N , Y , Y , Y , Y , 
2530	L’influence de la qualité de la relation parent-enfant et du sexe sur l’apprentissage de la peur par observation chez les enfants	Observational fear learning is especially relevant during childhood, a period during which many fears develop and where the familial environment is salient. Parent-child relationship modulates fear reactions in children, but its impact on observational fear learning in the context of the familial environment has not been investigated. This master’s thesis therefore examined whether the mother-child and father-child relationship quality as well as its interaction with children’s sex influence observational fear learning. Sixty parent-child dyads were recruited. The relationship with each parent was assessed by a self-report questionnaire completed by the children (8 to 12 years old). Children first watched a video of their parent undergoing a fear conditioning procedure, where one stimulus (CS+Parent) was paired with a shock and one was presented alone (CS-). Then, children watched a video of a stranger undergoing a similar protocol except that a different stimulus was paired with the shock (CS+Stranger). Subsequently, the three stimuli were directly presented to children. Fear levels were measured by skin conductance responses. The effect of the father-child relationship quality on fear levels for the CS+Parent was moderated by children’s sex, where girls having a more secure relationship with their father exhibited lower fear levels. The mother-child relationship quality had no impact on the children’s fear levels. These results suggest that the relationship with the father influences how girls respond to fear-related stimuli within the family environment. These data highlight the existence of some protective factors that might influence the vulnerability of developing fear-related psychopathologies.	attachement , observational fear conditioning , mother-child relationship quality , father-child relationship quality , attachment , sex differences , skin conductance responses , parent-child dyads	en	24390	Y	Y , Y , PP , PP , Y , Y , PP , PP , 
