	title	sentences	label	language	index
10	Deformation-based shape analysis of the hippocampus in the semantic variant of primary progressive aphasia and Alzheimer’s disease	Background Increasing evidence shows that the semantic variant of primary progressive aphasia (svPPA) is characterized by hippocampal atrophy. However, less is known about disease-related morphological hippocampal changes. The goal of the present study is to conduct a detailed characterization of the impact of svPPA on global hippocampus volume and morphology compared with control subjects and patients with Alzheimer’s disease (AD).  Methods We measured hippocampal volume and deformation-based shape differences in 22 patients with svPPA compared with 99 patients with AD and 92 controls. Multiple Automatically Generated Templates Brain Segmentation Algorithm (MAGeT-Brain) was used on MRI images obtained at the diagnostic visit.  Results Comparable left and right hippocampal atrophy were observed in svPPA and AD. Deformation-based shape analysis showed a common pattern of morphological deformation in svPPA and AD compared with controls. More specifically, both svPPA and AD showed inward deformations in the dorsal surface of the hippocampus, from head to tail on the left side, and more limited to the anterior portion of the body in the right hemisphere. These results also pointed out that both diseases are characterized by a lateral displacement of the central part (body) of the hippocampus.  Discussion Our study provides critical new evidence of hippocampal morphological changes in svPPA, similar to those found in AD. These findings highlight the importance of considering morphological hippocampal changes as part of the anatomical profile of patients with svPPA.	Alzheimer’s disease , Semantic variant of primary progressive aphasia , Automated segmentation , MAGeT brain , Hippocampus , Deformation-based shape analysis	en	24984.0
11	"Pathogenic and transmission potential of wildtype and
chicken embryo origin (CEO) vaccine revertant infectious laryngotracheitis virus"	Infectious laryngotracheitis (ILT) is an infectious upper respiratory tract disease that impacts the poultry industry worldwide. ILT is caused by an alphaherpesvirus commonly referred to as infectious laryngotracheitis virus (ILTV). Vaccination with live attenuated vaccines is practiced regularly for the control of ILT. However, extensive and improper use of live attenuated vaccines is related to vaccine viruses reverting to virulence. An increase in mortality and pathogenicity has been attributed to these vaccine revertant viruses. Recent studies characterized Canadian ILTV strains originating from ILT outbreaks as related to live attenuated vaccine virus revertants. However, information is scarce on the pathogenicity and transmission potential of these Canadian isolates. Hence, in this study, the pathogenicity and transmission potential of two wildtype ILTVs and a chicken embryo origin (CEO) vaccine revertant ILTV of Canadian origin were evaluated. To this end, 3-week-old specific pathogen-free chickens were experimentally infected with each of the ILTV isolates and compared to uninfected controls. Additionally, naïve chickens were exposed to the experimentally infected chickens to mimic naturally occurring infection. Pathogenicity of each of these ILTV isolates was evaluated by the severity of clinical signs, weight loss, mortality, and lesions observed at the necropsy. The transmission potential was evaluated by quantification of ILTV genome loads in oropharyngeal and cloacal swabs and tissue samples of the experimentally infected and contact-exposed chickens, as well as in the capacity to produce ILT in contact-exposed chickens. We observed that the CEO vaccine revertant ILTV isolate induced severe disease in comparison to the two wildtype ILTV isolates used in this study. According to ILTV genome load data, CEO vaccine revertant ILTV isolate was successfully transmitted to naïve contact-exposed chickens in comparison to the tested wildtype ILTV isolates. Overall, the Canadian origin CEO vaccine revertant ILTV isolate possesses higher virulence, and dissemination potential, when compared to the wildtype ILTV isolates used in this study. These findings have serious implications in ILT control in chickens.	Infectious laryngotracheitis virus , Pathogenicity , Transmission , Poultry , Vaccine revertant infectious laryngotracheitis virus	en	24982.0
12	Task-induced functional connectivity of picture naming in healthy aging : the impacts of age and task complexity	The topological organization of the brain, governed by the capacity of brain regions to synchronize their activity, allows for cost-effective performance during everyday cognitive activity. Functional connectivity is an fMRI method deemed task-specific and demand-dependent. Although the brain undergoes significant changes during healthy aging, conceptual knowledge and word-production accuracy are generally preserved. The exploration of task-induced functional connectivity patterns during active picture naming may thus provide additional information about healthy functional cerebral mechanisms that are specifically adapted to the cognitive activity at hand. The goal of this study is to assess and describe age-related differences in functional connectivity during an overt picture-naming task, as well as to compare age-related differences under complex task demand, defined by lexical frequency. Results suggest both age-specific and task-specific mechanisms. In the context of preserved behavioral performance in a picture-naming task, older adults show a complex array of differences in functional connectivity architecture, including both increases and decreases. In brief, there is increased segregation and specialization of regions that are classically assigned to naming processes. Results also expand on previous word-production studies and suggest that motor regions are particularly subject to age-related differences. This study also provides the first indication that intrinsic task demand, as manipulated by lexical frequency, interacts little with the relationship between age and functional connectivity. Together, these findings confirm the value of task-induced functional connectivity analysis in revealing the brain organization that subserves task performance during healthy aging.	fMRI , Functional connectivity , Healthy aging , Picture naming , Language , Task-induced functional connectivity	en	24981.0
13	"Prevalence of Coxiella burnetii seropositivity
and shedding in farm, pet and feral cats and
associated risk factors in farm cats in Quebec,
Canada"	Cats represent a potential source of Coxiella burnetii, the aetiological agent of Q fever in humans. The prevalence and risk factors of C. burnetii infection in farm, pet and feral cats were studied in Quebec, Canada, using a cross-sectional study. Serum samples were tested using a specific enzyme-linked immunosorbent assay (ELISA) for the presence of antibodies against C. burnetii, whereas rectal swabs were assayed using real-time quantitative polymerase chain reaction (qPCR) for the molecular detection of the bacteria. Potential risk factors for farm cats were investigated using clinical examinations, questionnaires and results from a concurrent study on C. burnetii farm status. A total of 184 cats were tested: 59 from ruminant farms, 73 pets and 52 feral cats. Among farm cats, 2/59 (3.4%) were ELISA-positive, 3/59 (5.1%) were ELISA-doubtful and 1/59 (1.7%) was qPCR-positive. All pets and feral cats were negative to C. burnetii ELISA and qPCR. Farm cat positivity was associated with a positive C. burnetii status on the ruminant farm (prevalence ratio = 7.6, P = 0.03). Our results suggest that although pet and feral cats do not seem to pose a great C. burnetii risk to public health, more active care should be taken when in contact with cats from ruminant farms.	Cats , Coxiella burnetii , Prevalence , Risk factors	en	24979.0
14	Gadamer, aesthetics and modernity	J’aborde ici la dimension exemplaire que revêt l’art pour l’herméneutique philosophique de Gadamer. Ce dernier souscrit sans doute à la thèse classiciste de Hegel selon laquelle l’art élève une prétention à la vérité qui a connu sa plus haute expression dans l’antiquité grecque, mais il refuse de concéder à Hegel qu’à l’époque moderne c’est désormais la philosophie qui assume cette prétention de manière privilégiée. Gadamer entend ainsi surmonter la perte de sens que connaît l’art à l’époque moderne, et il s’oppose à l’herméneutique romantique de Schleiermacher précisément pour cette raison. À l’encontre du diagnostic de Gadamer portant sur la subjectivisation de l’expérience artistique aux Temps Modernes, je fais intervenir W. Benjamin et sa compréhension du rôle constitutif de la « critique » dans l’art romantique pour faire contraste avec le modèle gadamérien d’accès à l’œuvre comme participation à un avènement de sens.	Gadamer , Hegel , Benjamin, Walter , Classicisme , Romantisme , Critique , Classicism , Romanticism	fr	24970.0
15	Gadamer, aesthetics and modernity	In this article I examine the exemplary role played by art in Gadamer’s philosophical hermeneutics. To be sure Gadamer agrees with Hegel and his classicist view according to which art contains a claim to truth that has reached its highest expression in Greek antiquity, but he refuses to admit that in the modern era it is henceforth philosophy that presents this truth in a privileged manner. Gadamer wishes thereby to counter the loss of meaning afflicting art in the modern era, and he stigmatizes Schleiermacher’s romantic hermeneutics precisely for that reason. Against Gadamer’s diagnosis of the subjectivisation of artistic experience in the modern times, I introduce W. Benjamin and his understanding of the intrinsic function of “critique” in romantic art in order to show the contrast with Gadamer’s model of access to the artwork as a participation in an event of meaning.	Gadamer , Hegel , Benjamin, Walter , Classicisme , Romantisme , Critique , Classicism , Romanticism	en	24970.0
16	Cybervictimization in adolescence and its association with subsequent suicidal ideation/attempt beyond face‐to‐face victimization : a longitudinal population‐based study	Background Cross‐sectional associations have been documented between cybervictimization and suicidal risk; however, prospective associations remain unclear.  Methods Participants were members of the Quebec Longitudinal Study of Child Development (QLSCD), a prospective birth cohort of 2,120 individuals followed from birth (1997/98) to age 17 years (2014/15). Cybervictimization and face‐to‐face victimization experienced since the beginning of the school year, as well as serious suicidal ideation and/or suicide attempt were self‐reported at ages 13, 15 and 17 years.  Results In cross‐sectional analyses at 13, 15 and 17 years, adolescents cybervictimized at least once had, respectively, 2.3 (95% CI = 1.64–3.19), 4.2 (95% CI = 3.27–5.41) and 3.5 (95% CI = 2.57–4.66) higher odds of suicidal ideation/attempt after adjusting for confounders including face‐to‐face victimization, prior mental health symptoms and family hardship. Sensitivity analyses suggested that cybervictimization only and both cyber‐ and face‐to‐face victimization were associated with a higher risk of suicidal ideation/attempt compared to face‐to‐face victimization only and no victimization; however, analyses were based on small n. In prospective analyses, cybervictimization was not associated with suicidal ideation/attempt 2 years later after accounting for baseline suicidal ideation/attempt and other confounders. In contrast, face‐to‐face victimization was associated with suicidal ideation/attempt 2 years later in the fully adjusted model, including cybervictimization.  Conclusions The cross‐sectional association between cybervictimization and suicidal ideation/attempt is independent from face‐to‐face victimization. The absence of a prospective association suggested short‐term effects of cybervictimization on suicidal ideation/attempt.	Adolescence , Longitudinal cohort , Suicidal ideation , Suicide attempt , Quebec Longitudinal Study of Child Development	en	24968.0
17	Associations between developmental trajectories of peer victimization, hair cortisol, and depressive symptoms : a longitudinal study	Background Peer victimization has been associated with long‐lasting risks for mental health. Prior research suggests that stress‐related systems underlying adaptation to changing environments may be at play. To date, inconsistent findings have been reported for the hypothalamic–pituitary–adrenal (HPA) axis, and its end product cortisol. This study tested whether peer victimization was associated with hair cortisol concentrations (HCC), and whether this association varied according to sex, timing, and changes in exposure. We also examined whether peer victimization differentially predicted depressive symptoms according to HCC.  Methods The sample comprised 556 adolescents (42.0%; 231 males) who provided hair for cortisol measurement at 17 years of age. Peer victimization was reported at seven occasions between the ages of 6 and 15 years.  Results Peer victimization was nonlinearly associated with HCC for boys only, whereas changes in peer victimization were related to HCC for boys and girls. Peer victimization predicted more depressive symptoms for all participants, except those with lower HCC.  Conclusions Our findings provide further support for persistent dysregulation of the HPA axis following exposure to chronic adversity, of which the expression may change according to sex and the severity of victimization.	Peer victimization , HPA axis , Hair cortisol , Depression , Nonlinear models	en	24967.0
18	A comparative tale of two methods : how thematic and narrative analyses author the data story differently	An interpretive qualitative approach insists on the plural and negotiated nature of the meanings that humans attach to their social realities. Thus, the qualitative researcher must navigate multiple and sometimes conflicting commitments to method, data, oneself, participants, and one’s reader. This can lead us to obscure the messiness of data analysis in final research reports and to downplay how methodological choices can make our participants ‘say things.’ In this article, we compare two interpretive methods, thematic and narrative analysis, including their shared epistemological and ontological premises, and offer a pedagogical demonstration of their application to the same data excerpt. However, our broader goal is to use the divergent results to critically examine how our choice of analytic method in interpretive research influences how we (researcher + method) ‘author’ data stories. Ultimately, researcher reflexivity must go beyond acknowledging how one’s position may influence the data analysis or the participant.	Interpretive research , Qualitative research , Thematic analysis , Narrative analysis , Researcher commitments	en	24965.0
19	Cannabis use, depression and suicidal ideation in adolescence : direction of associations in a population based cohort	Background To clarify the direction of the association between frequency of cannabis use, depressive symptoms and suicidal ideation from 15 to 20 years using cross-lagged analyses.  Method We included 1606 adolescents from the province of Québec followed since 1997 with information on frequency of cannabis use (none/monthly/weekly), depression (defined as being in the top 10% symptoms) and serious suicidal ideation at ages 15, 17 and 20 years.  Results The prevalence of weekly cannabis use increased from 7.0% at age 15 years to 15.6% by age 20 years. Adolescents who reported using cannabis weekly at one age were 11 to 15 times more likely to continue using cannabis over time. In longitudinal cross-lagged analyses, weekly cannabis use at age 15 was associated with greater odds (OR=2.19, 95% CI=1.04-4.58) of suicidal ideation two years later. However, other substance use (alcohol, tobacco, other drugs) fully explained this association. Further, depression predicted subsequent weekly cannabis use, even after adjusting for comorbid other substance use (eg, for depression at 15 years predicting cannabis use at 17 years: OR=2.30, 95% CI=1.19-4.43).  Limitations Quantity of cannabis consumed was not measured.  Conclusion Findings suggest that depressive symptoms in adolescence may represent a risk factor for weekly cannabis consumption, which once initiated is likely to remain chronic. Weekly cannabis use increased risk for suicidal ideation, but not independently from other substance use including alcohol, tobacco and other drugs.	Longitudinal , Adolescence , Cannabis , Depression , Suicidal ideation , Substance use	en	24963.0
20	Contribution of genes and environment to the longitudinal association between childhood impulsive‐aggression and suicidality in adolescence	Background Population‐based and family studies showed that impulsive‐aggression predicts suicidality; however, the underlying etiological nature of this association is poorly understood. The objective was to determine the contribution of genes and environment to the association between childhood impulsive‐aggression and serious suicidal ideation/attempt in young adulthood.  Methods N = 862 twins (435 families) from the Quebec Newborn Twin Study were followed up from birth to 20 years. Repeated measures of teacher‐assessed impulsive‐aggression were modeled using a genetically informed latent growth model including intercept and slope parameters reflecting individual differences in the baseline level (age 6 years) and in the change (increase/decrease) of impulsive‐aggression during childhood (6 to 12 years), respectively. Lifetime suicidality (serious suicidal ideation/attempt) was self‐reported at 20 years. Associations of impulsive‐aggression intercept and slope with suicidality were decomposed into additive genetic (A) and unique environmental (E) components.  Results Additive genetic factors accounted for an important part of individual differences in impulsive‐aggression intercept (A = 90%, E = 10%) and slope (A = 65%, E = 35%). Genetic (50%) and unique environmental (50%) factors equally contributed to suicidality. We found that 38% of the genetic factors accounting for suicidality were shared with those underlying impulsive‐aggression slope, whereas 40% of the environmental factors accounting for suicidality were shared with those associated with impulsive‐aggression intercept. The genetic correlation between impulsive‐aggression slope and suicidality was 0.60, p = .027.  Conclusions Genetic and unique environmental factors underlying suicidality significantly overlap with those underlying childhood impulsive‐aggression. Future studies should identify putative genetic and environmental factors to inform prevention.	Suicide attempt , Suicidal ideation , Impulsive-aggression , Twin study , Behavioral genetics , Longitudinal	en	24962.0
21	Associations between peer victimization and suicidal ideation and suicide attempt during adolescence : results from a prospective population-based birth cohort	Objective:To test whether adolescents who are victim-ized by peers are at heightened risk for suicidal ideationand  suicide  attempt,  using  both  cross-sectional  andprospective investigations.Method:Participants are from the Quebec LongitudinalStudy of Child Development, a general population sampleof children born in Quebec in 1997 through 1998 andfollowed up until 15 years of age. Information aboutvictimization and serious suicidal ideation and suicideattempt in the past year was obtained at ages 13 and15 years from self-reports (N¼1,168).Results:Victims reported concurrently higher rates ofsuicidal ideation at age 13 years (11.6–14.7%) and suicideattempt at age 15 years (5.4–6.8%) compared to those whohad not been victimized (2.7–4.1% for suicidal ideationand 1.6–1.9% for suicide attempt). Being victimized bypeers at 13 years predicted suicidal ideation (odds ratio[OR]¼2.27;  95%  CI¼1.25–4.12)  and  suicideattempt (OR¼3.05, 95% CI¼1.36–6.82) 2 years later,even  after  adjusting  for  baseline  suicidality  andmental health problems and a series of confounders(socioeconomic status, intelligence, family’s functioningand structure, hostile-reactive parenting, maternal lifetimesuicidal  ideation/suicide  attempt).  Those  who  werevictimized at both 13 and 15 years had the highest risk ofsuicidal ideation (OR¼5.41, 95% CI¼2.53–11.53) andsuicide attempt (OR¼5.85, 95% CI¼2.12–16.18) at15 years.Conclusion:Victimization is associated with an increasedrisk of suicidal ideation and suicide attempt over andabove concurrent suicidality and prior mental healthproblems. The longer the history of victimization, thegreater the risk.	Suicidal ideation , Suicide attempt , Adolescence , Peer victimization , Bullying	en	24961.0
22	Newborn screening for congenital hypothyroidism and congenital adrenal hyperplasia : the balance of benefits and costs of a public health success	Newborn screening is an important public health program and a triumph of preventive medicine. Economic analyses show that the benefits of newborn screening clearly outweigh the  costs for certain diseases but not necessarily for other ones. This is due to the great diversity of the  natural history of the diseases detected, to the fact that each of these diseases considered  individually is rare, and to differences in the effectiveness of interventions. In addition, the benefit cost ratio of screening for a particular disorder may differ between countries, specifically between high-income and low- and middle-income countries. The burden of a disorder may also be alleviated by increased clinical awareness and effective clinical services, even in the absence of newborn screening. In this article, the authors focus on economic analyses of newborn screening  for primary congenital hypothyroidism, which has been in place in high-income countries for  roughly 40 years, and for classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency. Screening for the latter is not yet universal, even in high-income countries, although the lack of universal implementation may reflect factors other than economic considerations.		en	24960.0
23	Rome en ses jardins : paysage et pouvoir au XVIe siècle	L'auteur revisite les rapports entre pays et paysage à la lumière d'une histoire de l'art d'orientation anthropologique centrée sur la notion de pouvoir et sur les enjeux sociaux du territoire.		fr	24959.0
24	La nucléation à partir de cristaux mixtes : une nouvelle approche pour augmenter la diversité polymorphique	Les composés qui existent sous de multiples formes cristallines sont qualifiés de polymorphiques. Les polymorphes ont la même composition, mais leurs structures et leurs propriétés peuvent varier significativement. Dans de nombreux domaines, les conditions de cristallisation des composés d’intérêt sont étudiées de façon exhaustive afin de générer autant de polymorphes que possible, à partir desquels le polymorphe le plus avantageux pour l’application souhaitée peut être sélectionné. Nous rapportons une nouvelle façon d’augmenter la diversité polymorphique basée sur la cristallisation induite par l’ensemencement à l’aide de cristaux mixtes. Nous rapportons également une nouvelle stratégie de cristallisation de composés fondus suspendus qui permet d’induire la formation de cristaux uniques qui sont trop instables pour être produits par des méthodes traditionnelles. Cette stratégie permet la résolution par diffraction des rayons X d’une plus large variété de structures cristallines. L’efficacité des méthodes présentées ci-dessus a été démontrée en les utilisant pour produire des cristaux uniques caractérisés par diffraction des rayons X de nouveaux polymorphes du composé ROY, une référence en matière de polymorphisme. Cela permet à ROY de regagner sa part de la position de composé le plus polymorphique dans la Cambridge Structural Database (CSD).	ROY , Polymorphisme , Polymorphe , Ensemencement , Cristaux , Nucléation , Cristallisation , Structure cristalline , Polymorphism , Polymorph , Seeding , Crystal , Crystallization , Crystalline structure , Chemistry - Organic / Chimie organique (UMI : 0490)	fr	24957.0
25	La nucléation à partir de cristaux mixtes : une nouvelle approche pour augmenter la diversité polymorphique	Chemical compounds that exist in multiple crystalline forms are said to exhibit polymorphism. Polymorphs have the same composition, but their structures and properties can vary markedly. In many fields, conditions for crystallizing compounds of interest are screened exhaustively to generate as many polymorphs as possible, from which the most advantageous form for the desired application can be selected. Here we report a new way to increase polymorphic diversity, based on crystallization induced by suitably designed mixed-crystal seeds. Also reported herein is a new strategy of suspended-melt crystallization, which can be used to induce the formation of single crystals that are too unstable to be produced by traditional methods. This strategy allows for a broader scope of crystalline structures to be resolved by X-ray diffraction. The efficacy of the above methods has been demonstrated by using them to produce new polymorphs of the benchmark compound ROY as single crystals structurally characterized by X-ray diffraction. This allows ROY to reclaim a share of the crown as the most polymorphic compound in the Cambridge Structural Database (CSD).	ROY , Polymorphisme , Polymorphe , Ensemencement , Cristaux , Nucléation , Cristallisation , Structure cristalline , Polymorphism , Polymorph , Seeding , Crystal , Crystallization , Crystalline structure , Chemistry - Organic / Chimie organique (UMI : 0490)	en	24957.0
